,EquipoAnf,EquipoVis,ResulAnf,ResulVis,Fecha,Estadio,Ciudad,Arbitro,Provincia,tmed,prec
6389,Athletic Club,Las Palmas,5,1,2017-04-14,San Mamés,Bilbao,Estrada Fernández,BIZKAIA,13.780000000000001,0.0
6390,Deportivo de La Coruña,Málaga,2,0,2017-04-15,Estadio Municipal de Riazor,La Coruña,Undiano Mallenco,A CORUÑA,12.388888888888888,0.0
6391,Sporting de Gijón,Real Madrid,2,3,2017-04-15,El Molinón,Gijón,Fernández Borbalán,ASTURIAS,11.527272727272727,1.4636363636363638
6392,Barcelona,Real Sociedad,3,2,2017-04-15,Camp Nou,Barcelona,Martínez Munuera,BARCELONA,15.399999999999999,0.05000000000000001
6393,Atlético de Madrid,Osasuna,3,0,2017-04-15,Vicente Calderón,Madrid,Melero López,MADRID,16.433333333333334,0.0
6394,Granada,Celta de Vigo,0,3,2017-04-16,Estadio Nuevo Los Carmenes,Granada,Sánchez Martínez,GRANADA,18.675,0.0
6395,Leganés,Espanyol,0,1,2017-04-16,Estadio Municipal de Butarque,Leganés,Clos Gómez,MADRID,15.674999999999999,0.0
6396,Betis,Eibar,2,0,2017-04-16,Benito Villamarín,Sevilla,Mateu Lahoz,SEVILLA,19.6,0.0
6397,Valencia,Sevilla,0,0,2017-04-16,Camp de Mestalla,Valencia,González González,VALENCIA,17.12857142857143,0.0
6398,Alavés,Villarreal,2,1,2017-04-17,Mendizorrotza,Vitoria,Álvarez Izquierdo,ARABA/ALAVA,12.1,0.0
6399,Sevilla,Granada,2,0,2017-04-21,Estadio Ramón Sánchez-Pizjuán,Sevilla,Trujillo Suárez,SEVILLA,16.48,0.06000000000000001
6400,Espanyol,Atlético de Madrid,0,1,2017-04-22,Power8 Stadium,Cornellá de Llobregat,Bikandi Garrido,BARCELONA,13.283333333333333,0.0
6401,Villarreal,Leganés,2,1,2017-04-22,Estadio de la Cerámica,Villarreal,Jaime Latre,CASTELLON,10.65,0.0
6402,Málaga,Valencia,2,0,2017-04-22,La Rosaleda,Málaga,Iglesias Villanueva,MALAGA,17.21666666666667,0.03333333333333333
